Designator,Mid X,Mid Y,Layer,Rotation
C1,185.547,-61.2355,top,90
C2,141.605,-74.6975,top,270
C3,139.065,-74.6975,top,270
C4,150.495,-74.93,top,270
C5,153.035,-74.93,top,270
C6,173.5035,-121.158,top,0
C7,179.324,-120.1635,top,270
C8,173.5035,-119.126,top,0
C9,182.118,-61.2355,top,90
C10,148.844,-121.158,top,0
C11,169.672,-101.219,top,180
D1,150.4,-54.61,top,0
D2,135.255,-84.845,top,90
D3,187.071,-84.845,top,90
Q1,147.635,-60.69,top,270
Q2,176.419,-64.196,top,180
Q3,176.514,-68.133,top,180
R1,151.765,-59.325,top,270
R2,112.03,-63.627,top,180
R3,179.324,-68.183,top,90
R4,179.324,-64.246,top,270
R5,211.09,-65.786,top,0
R6,145.923,-78.232,top,180
R7,145.907,-80.391,top,0
R8,166.989,-97.536,top,180
R9,211.09,-62.357,top,0
R10,156.48,-88.392,top,0
R11,112.014,-61.214,top,180
R12,123.682,-104.902,top,0
R13,133.858,-107.934,top,270
R14,131.048,-118.872,top,180
R15,120.142,-115.808,top,90
R16,188.468,-100.33,top,90
R17,204.724,-103.489,top,90
R18,200.406,-117.586,top,90
R19,135.255,-80.645,top,270
R20,182.864,-104.394,top,0
R21,187.071,-80.518,top,270
U2,184.277,-66.421,top,90
U3,145.245,-74.93,top,180
U5,161.29,-113.03,top,180
