Designator,Value,LibPart,Footprint,Datasheet,LCSC_part_number,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,STANDARD,digikey_part_number
C2,10u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C15850,,,,,1276-6455-1-ND
C4,10u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C15850,,,,,1276-6455-1-ND
C7,10u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C15850,,,,,1276-6455-1-ND
R1,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R2,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R3,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R4,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R5,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R7,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R8,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R9,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R10,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R11,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R12,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R13,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R14,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R15,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R16,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R17,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
