"Source:","/home/matthew/Documents/Makers-Unified-Controller/Makers-Unified-Controller/Makers-Unified-Controller.kicad_sch"
"Date:","Wed 20 Jul 2022 06:09:24 PM EDT"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","68"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC_part_number","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD","digikey","digikey_part_number"
"","","A1","SSD1306","Project_Imports:SSD1306","Footprint_Imports:SSD1306","","","","","","","",""
"","","BT1","PRT-18286","Project_Imports:PRT-18286","Footprint_Imports:PRT18286","https://cdn.sparkfun.com/assets/e/3/3/2/7/-KPL623450-1300mAh-3.7V_______________2021-01-21.pdf","","","","","","","1568-PRT-18286-ND"
"","","C1","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","1276-1099-1-ND"
"","","C2","10u","Device:C","","~","C15850","","","","","","1276-6455-1-ND"
"","","C3","10u","Device:C","","~","C15850","","","","","","1276-6455-1-ND"
"","","C4","1u","Device:C","","~","C28323","","","","","","1276-1275-1-ND"
"","","C5","10u","Device:C","","~","C15850","","","","","","1276-6455-1-ND"
"","","C6","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","1276-1099-1-ND"
"","","C7","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C15850","","","","","","1276-6455-1-ND"
"","","C8","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C28323","","","","","","1276-1275-1-ND"
"","","C9","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C28323","","","","","","1276-1275-1-ND"
"","","C10","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C28323","","","","","","1276-1275-1-ND"
"","","C11","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C28323","","","","","","1276-1275-1-ND"
"","","C12","10u","Device:C","","~","C15850","","","","","","1276-6455-1-ND"
"","","C13","1u","Device:C","","~","C28323","","","","","","1276-1275-1-ND"
"","","D1","CDBA340-G","Device:D_Schottky","","~","","","","","","","641-1101-1-ND"
"","","D2","G_LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C2297","","","","","","160-1218-1-ND"
"","","D3","B_LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C2293","","","","","","732-4982-1-ND"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","",""
"","","J1","USB_B_Micro","Connector:USB_B_Micro","Footprint_Imports:AMPHENOL_10118192-0002LF","~","","","","","","","609-4613-1-ND"
"","","J2","backup_PROG","Connector:Conn_01x06_Female","Footprint_Imports:backup_prog_header","~","","","","","","",""
"","","J3","BAT Connector","Connector:Conn_01x02_Female","","~","","","","","","",""
"","","L1","6.2u","Device:L","","~","","","","","","","732-1041-1-ND"
"","","Q1","PJA3401A_R1_00001","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","","","","","","","3757-PJA3401A_R1_00001CT-ND"
"","","Q2","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","C20526","","","","","","MMBT3904TPMSCT-ND"
"","","Q3","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","C20526","","","","","","MMBT3904TPMSCT-ND"
"","","R1","4.7k","Device:R","","~","","","","","","","RMCF0805FT4K70CT-ND"
"","","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R6","10k","Device:R","","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R8","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R9","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R10","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R12","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R14","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R15","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R16","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R17","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R18","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R19","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","RMCF0805JT2K20CT-ND"
"","","R20","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"","","R21","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","RMCF0805JT2K20CT-ND"
"","","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","","~","","","","","","","CKC5102-ND"
"","","SW2","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW3","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW4","SW_RIGHT_ANGLE","Switch:SW_Push","Footprint_Imports:1825027-8","~","","","","","","","450-1657-ND"
"","","SW5","SW_RIGHT_ANGLE","Switch:SW_Push","Footprint_Imports:1825027-8","~","","","","","","","450-1657-ND"
"","","SW6","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW7","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW8","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW9","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW10","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW11","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW12","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","SW13","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"","","U1","COM-09032","Project_Imports:COM-09032","XDCR_COM-09032","","","SparkFun Electronics","30.1mm","N/A","Manufacturer Recommendations","","COM-09032"
"","","U2","FT231XS","Interface_USB:FT231XS","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf","","","","","","","768-1129-1-ND"
"","","U3","MCP73832-2-0T","Battery_Management:MCP73832-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","","","","","","",""
"","","U4","COM-09032","Project_Imports:COM-09032","XDCR_COM-09032","","","SparkFun Electronics","30.1mm","N/A","Manufacturer Recommendations","","COM-09032"
"","","U5","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","C473012","","","","","","1965-ESP32-WROOM-32D-N4CT-ND"
"","","U6","TPS62046DRCR","Project_Imports:TPS62046DRCR","Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps62040.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1655555568465&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftps62040","","","","","","296-15902-1-ND","296-15902-1-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC_part_number","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD","digikey","digikey_part_number"
"1","1","A1","SSD1306","Project_Imports:SSD1306","Footprint_Imports:SSD1306","","","","","","","",""
"2","1","BT1","PRT-18286","Project_Imports:PRT-18286","Footprint_Imports:PRT18286","https://cdn.sparkfun.com/assets/e/3/3/2/7/-KPL623450-1300mAh-3.7V_______________2021-01-21.pdf","","","","","","","1568-PRT-18286-ND"
"3","2","C1, C6","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","1276-1099-1-ND"
"4","4","C2, C3, C5, C12","10u","Device:C","","~","C15850","","","","","","1276-6455-1-ND"
"5","2","C4, C13","1u","Device:C","","~","C28323","","","","","","1276-1275-1-ND"
"6","1","C7","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C15850","","","","","","1276-6455-1-ND"
"7","4","C8, C9, C10, C11","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C28323","","","","","","1276-1275-1-ND"
"8","1","D1","CDBA340-G","Device:D_Schottky","","~","","","","","","","641-1101-1-ND"
"9","1","D2","G_LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C2297","","","","","","160-1218-1-ND"
"10","1","D3","B_LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C2293","","","","","","732-4982-1-ND"
"11","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","",""
"12","1","J1","USB_B_Micro","Connector:USB_B_Micro","Footprint_Imports:AMPHENOL_10118192-0002LF","~","","","","","","","609-4613-1-ND"
"13","1","J2","backup_PROG","Connector:Conn_01x06_Female","Footprint_Imports:backup_prog_header","~","","","","","","",""
"14","1","J3","BAT Connector","Connector:Conn_01x02_Female","","~","","","","","","",""
"15","1","L1","6.2u","Device:L","","~","","","","","","","732-1041-1-ND"
"16","1","Q1","PJA3401A_R1_00001","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","","","","","","","3757-PJA3401A_R1_00001CT-ND"
"17","2","Q2, Q3","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","C20526","","","","","","MMBT3904TPMSCT-ND"
"18","1","R1","4.7k","Device:R","","~","","","","","","","RMCF0805FT4K70CT-ND"
"19","16","R2, R3, R4, R5, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R20","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"20","1","R6","10k","Device:R","","~","C17414","","","","","","RMCF0805JT10K0CT-ND"
"21","2","R19, R21","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","RMCF0805JT2K20CT-ND"
"22","1","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","","~","","","","","","","CKC5102-ND"
"23","10","SW2, SW3, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13","SW_Push","Project_Imports:1571563-4","Footprint_Imports:SW_1571563-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F1571563-4","","","","","","","450-2055-1-ND"
"24","2","SW4, SW5","SW_RIGHT_ANGLE","Switch:SW_Push","Footprint_Imports:1825027-8","~","","","","","","","450-1657-ND"
"25","2","U1, U4","COM-09032","Project_Imports:COM-09032","XDCR_COM-09032","","","SparkFun Electronics","30.1mm","N/A","Manufacturer Recommendations","","COM-09032"
"26","1","U2","FT231XS","Interface_USB:FT231XS","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf","","","","","","","768-1129-1-ND"
"27","1","U3","MCP73832-2-0T","Battery_Management:MCP73832-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","","","","","","",""
